Borough,Year,Value,Season
Bronx,2020,15.805796178343948,Winter
Bronx,2024,10.134660326086957,Winter
Bronx,2025,6.874418604651162,Winter
Bronx,2026,7.297623470774807,Winter
Brooklyn,2021,8.291883924458775,Winter
Brooklyn,2022,12.141987620357634,Winter
Brooklyn,2025,6.414148550724638,Winter
Brooklyn,2026,6.139924791086352,Winter
Manhattan,2020,14.133569259518804,Winter
Manhattan,2021,7.848616956077631,Winter
Manhattan,2022,8.585876010781671,Winter
Manhattan,2024,10.857830491305082,Winter
Manhattan,2025,7.482005208333334,Winter
Manhattan,2026,8.19778339848241,Winter
Queens,2020,8.266367461430574,Winter
Queens,2021,14.30274234400184,Winter
Queens,2022,9.135654545454544,Winter
Queens,2023,6.875784989856748,Winter
Queens,2024,10.536786462664082,Winter
Queens,2025,6.057560975609756,Winter
Queens,2026,6.287275940944063,Winter
Staten Island,2025,6.83728309370352,Winter
Staten Island,2026,8.322216624685138,Winter
Bronx,2023,23.631807806436885,Summer
Bronx,2024,9.791200935359946,Summer
Bronx,2025,11.385206337944897,Summer
Brooklyn,2020,13.819131832797428,Summer
Brooklyn,2021,11.995585331452752,Summer
Brooklyn,2023,26.560721123165283,Summer
Brooklyn,2024,9.525497835497836,Summer
Brooklyn,2025,9.342566552901024,Summer
Manhattan,2020,8.18056693883839,Summer
Manhattan,2021,12.43245804006497,Summer
Manhattan,2022,5.864050343249429,Summer
Manhattan,2023,24.350091533180777,Summer
Manhattan,2024,10.681060988277192,Summer
Manhattan,2025,11.303526694045175,Summer
Queens,2020,8.878849803286277,Summer
Queens,2021,10.519977214468812,Summer
Queens,2022,6.85921568627451,Summer
Queens,2023,17.344339560329093,Summer
Queens,2024,8.602884359769606,Summer
Queens,2025,9.09504759386568,Summer
Staten Island,2024,9.722832244008714,Summer
Staten Island,2025,11.559805253623187,Summer
Bronx,2020,18.89,Spring
Bronx,2022,9.617532467532467,Spring
Bronx,2023,9.607992098535906,Spring
Bronx,2024,8.515855982067807,Spring
Bronx,2025,6.802356921665329,Spring
Brooklyn,2020,6.926098265895953,Spring
Brooklyn,2021,8.29079329102448,Spring
Brooklyn,2022,10.942056603773585,Spring
Brooklyn,2023,10.213465620673743,Spring
Brooklyn,2024,9.688007246376811,Spring
Brooklyn,2025,5.940335144927536,Spring
Manhattan,2020,7.142132058006789,Spring
Manhattan,2021,6.603852392538524,Spring
Manhattan,2022,9.934917973022237,Spring
Manhattan,2023,10.340914819136522,Spring
Manhattan,2024,9.874975957552644,Spring
Manhattan,2025,6.831447010869565,Spring
Queens,2020,7.409645011600928,Spring
Queens,2021,9.205212953185498,Spring
Queens,2022,7.2589691428571435,Spring
Queens,2023,7.495445291177073,Spring
Queens,2024,7.726106168464794,Spring
Queens,2025,5.600640096618357,Spring
Staten Island,2025,6.29641304347826,Spring
Bronx,2023,12.044081023454158,Fall
Bronx,2024,5.203767800632911,Fall
Bronx,2025,6.198925790196976,Fall
Brooklyn,2020,9.913442930953499,Fall
Brooklyn,2021,9.189899036255163,Fall
Brooklyn,2024,5.906183276059565,Fall
Brooklyn,2025,5.631954246775371,Fall
Manhattan,2019,10.299096660808436,Fall
Manhattan,2020,7.228515505846467,Fall
Manhattan,2021,7.915967302452316,Fall
Manhattan,2023,11.962814708526794,Fall
Manhattan,2024,6.778970924908425,Fall
Manhattan,2025,7.304478928080623,Fall
Queens,2019,6.263356940509915,Fall
Queens,2020,9.602809560132215,Fall
Queens,2021,6.595521191294387,Fall
Queens,2022,6.6247215377033015,Fall
Queens,2023,9.863415846551465,Fall
Queens,2024,5.46301996370236,Fall
Queens,2025,5.575196241854827,Fall
Staten Island,2024,5.6874407856730205,Fall
Staten Island,2025,6.828368179500255,Fall
